NCBI_GENE_ID	mean	lower	upper	stderr
allA	1.7065926060827081	-2.1590438130450518	5.5722290252104685	3.86563641912776
allB	1.71915005522538	0.09696615948147635	3.3413339509692834	1.6221838957439036
allC	1.9020376778162245	-0.20049840918866968	4.004573764821119	2.102536087004894
allD	1.2883382292112149	0.09190854214679334	2.4847679162756364	1.1964296870644215
allR	-3.541818123588825	-9.957717645266293	2.874081398088643	6.415899521677468
alr	10.87467092141998	7.259828687304565	14.489513155535395	3.6148422341154154
alsA	1.0827069953587716	-0.4812218419780332	2.6466358326955763	1.5639288373368048
alsB	1.2391023571197932	-1.761901039542368	4.240105753781954	3.001003396662161
alsC	1.0890140533634685	-0.8854491982279828	3.0634773049549198	1.9744632515914513
alsE	2.8839663273296736	0.25183726092219727	5.5160953937371495	2.6321290664074763
