RAST_GENE_ID	NCBI_GENE_ID
fiG|1005566.5.peG.1222	ybcQ
fiG|1005566.5.peG.1223	dcuC
fiG|1005566.5.peG.1224	nmpC
fiG|1005566.5.peG.1225	essD
fiG|1005566.5.peG.1226	ybcS
fiG|1005566.5.peG.1227	rzpD
fiG|1005566.5.peG.1228	borD
fiG|1005566.5.peG.1229	ybcW
fiG|1005566.5.peG.123	tatA
fiG|1005566.5.peG.1230	NA
fiG|1005566.5.peG.1231	nohB
fiG|1005566.5.peG.1232	tfaD
fiG|1005566.5.peG.1233	ylcE
fiG|1005566.5.peG.1234	appY
fiG|1005566.5.peG.1235	ompT
fiG|1005566.5.peG.1236	envY
fiG|1005566.5.peG.1237	ybcH
fiG|1005566.5.peG.1238	nfrA
fiG|1005566.5.peG.1239	nfrB
fiG|1005566.5.peG.124	tatB
fiG|1005566.5.peG.1240	cusS
fiG|1005566.5.peG.1241	cusR
fiG|1005566.5.peG.1242	NA
fiG|1005566.5.peG.1243	cusC
fiG|1005566.5.peG.1244	cusF
fiG|1005566.5.peG.1245	cusB
fiG|1005566.5.peG.1246	cusA
fiG|1005566.5.peG.1247	pheP
fiG|1005566.5.peG.1248	ybdG
fiG|1005566.5.peG.1249	nfnB
fiG|1005566.5.peG.125	tatC
fiG|1005566.5.peG.1250	ybdF
fiG|1005566.5.peG.1251	ybdJ
fiG|1005566.5.peG.1252	ybdK
fiG|1005566.5.peG.1253	hokE
fiG|1005566.5.peG.1254	NA
fiG|1005566.5.peG.1255	NA
fiG|1005566.5.peG.1256	entD
fiG|1005566.5.peG.1257	fepA
fiG|1005566.5.peG.1258	NA
fiG|1005566.5.peG.1259	fes
fiG|1005566.5.peG.126	tatD
fiG|1005566.5.peG.1260	ybdZ
fiG|1005566.5.peG.1261	entF
fiG|1005566.5.peG.1262	fepE
fiG|1005566.5.peG.1263	fepC
fiG|1005566.5.peG.1264	fepG
fiG|1005566.5.peG.1265	fepD
fiG|1005566.5.peG.1266	ybdA
fiG|1005566.5.peG.1267	fepB
fiG|1005566.5.peG.1268	entC
fiG|1005566.5.peG.1269	entE
fiG|1005566.5.peG.127	rfaH
fiG|1005566.5.peG.1270	entB
fiG|1005566.5.peG.1271	entA
fiG|1005566.5.peG.1272	ybdB
fiG|1005566.5.peG.1273	NA
fiG|1005566.5.peG.1274	cstA
fiG|1005566.5.peG.1275	ybdD
fiG|1005566.5.peG.1276	ybdH
fiG|1005566.5.peG.1277	ybdL
fiG|1005566.5.peG.1278	ybdM
fiG|1005566.5.peG.1279	ybdN
fiG|1005566.5.peG.128	ubiD
fiG|1005566.5.peG.1280	ybdO
fiG|1005566.5.peG.1281	dsbG
fiG|1005566.5.peG.1282	ahpC
fiG|1005566.5.peG.1283	NA
fiG|1005566.5.peG.1284	ahpF
fiG|1005566.5.peG.1285	uspG
fiG|1005566.5.peG.1286	ybdR
fiG|1005566.5.peG.1287	NA
fiG|1005566.5.peG.1288	rnk
fiG|1005566.5.peG.1289	rna
fiG|1005566.5.peG.129	fre
fiG|1005566.5.peG.1290	citT
fiG|1005566.5.peG.1291	citG
fiG|1005566.5.peG.1292	citX
fiG|1005566.5.peG.1293	citF
fiG|1005566.5.peG.1294	citE
fiG|1005566.5.peG.1295	citD
fiG|1005566.5.peG.1296	citC
fiG|1005566.5.peG.1297	citA
fiG|1005566.5.peG.1298	citB
fiG|1005566.5.peG.1299	NA
fiG|1005566.5.peG.13	yieI
fiG|1005566.5.peG.130	fadA
fiG|1005566.5.peG.1300	crcA
fiG|1005566.5.peG.1301	cspE
fiG|1005566.5.peG.1302	crcB
fiG|1005566.5.peG.1303	ybeH
fiG|1005566.5.peG.1304	ybeM
fiG|1005566.5.peG.1305	tatE
fiG|1005566.5.peG.1306	lipA
fiG|1005566.5.peG.1307	ybeF
fiG|1005566.5.peG.1308	lipB
fiG|1005566.5.peG.1309	ybeD
fiG|1005566.5.peG.131	fadB
fiG|1005566.5.peG.1310	dacA
fiG|1005566.5.peG.1311	NA
fiG|1005566.5.peG.1312	rlpA
fiG|1005566.5.peG.1313	mrdB
fiG|1005566.5.peG.1314	mrdA
fiG|1005566.5.peG.1315	ybeA
fiG|1005566.5.peG.1316	ybeB
fiG|1005566.5.peG.1317	cobC
fiG|1005566.5.peG.1318	nadD
fiG|1005566.5.peG.1319	holA
fiG|1005566.5.peG.132	pepQ
fiG|1005566.5.peG.1320	rlpB
fiG|1005566.5.peG.1321	leuS
fiG|1005566.5.peG.1322	ybeL
fiG|1005566.5.peG.1323	ybeQ
fiG|1005566.5.peG.1324	ybeR
fiG|1005566.5.peG.1325	djlB
fiG|1005566.5.peG.1326	ybeT
fiG|1005566.5.peG.1327	ybeU
fiG|1005566.5.peG.1328	djlC
fiG|1005566.5.peG.1329	hscC
fiG|1005566.5.peG.133	yigZ
fiG|1005566.5.peG.1330	rihA
fiG|1005566.5.peG.1331	gltL
fiG|1005566.5.peG.1332	gltK
fiG|1005566.5.peG.1333	gltJ
fiG|1005566.5.peG.1334	gltI
fiG|1005566.5.peG.1335	dcuC
fiG|1005566.5.peG.1336	lnt
fiG|1005566.5.peG.1337	ybeX
fiG|1005566.5.peG.1338	ybeY
fiG|1005566.5.peG.1339	ybeZ
fiG|1005566.5.peG.134	trkH
fiG|1005566.5.peG.1340	miaB
fiG|1005566.5.peG.1341	ubiF
fiG|1005566.5.peG.1342	asnB
fiG|1005566.5.peG.1343	NA
fiG|1005566.5.peG.1344	nagD
fiG|1005566.5.peG.1345	nagC
fiG|1005566.5.peG.1346	nagA
fiG|1005566.5.peG.1347	nagB
fiG|1005566.5.peG.1348	NA
fiG|1005566.5.peG.1349	nagE
fiG|1005566.5.peG.135	hemG
fiG|1005566.5.peG.1350	NA
fiG|1005566.5.peG.1351	glnS
fiG|1005566.5.peG.1352	ybfM
fiG|1005566.5.peG.1353	ybfN
fiG|1005566.5.peG.1354	fur
fiG|1005566.5.peG.1355	fldA
fiG|1005566.5.peG.1356	ybfE
fiG|1005566.5.peG.1357	ybfF
fiG|1005566.5.peG.1358	seqA
fiG|1005566.5.peG.1359	pgm
fiG|1005566.5.peG.136	mobB
fiG|1005566.5.peG.1360	ybfP
fiG|1005566.5.peG.1361	ybfG
fiG|1005566.5.peG.1362	ybfH
fiG|1005566.5.peG.1363	potE
fiG|1005566.5.peG.1364	speF
fiG|1005566.5.peG.1365	kdpE
fiG|1005566.5.peG.1366	kdpD
fiG|1005566.5.peG.1367	kdpC
fiG|1005566.5.peG.1368	kdpB
fiG|1005566.5.peG.1369	kdpA
fiG|1005566.5.peG.137	mobA
fiG|1005566.5.peG.1370	NA
fiG|1005566.5.peG.1371	ybfA
fiG|1005566.5.peG.1372	rhsC
